visitor-win-pct, visitor-ppg, visitor-oppg, home-win-pct, home-ppg, home-oppg, winner
.000,0.84,0.94,1.000,0.94,0.84,1
1.000,0.99,0.91,.000,0.91,0.99,0
.000,1.07,1.2,1.000,1.2,1.07,1
.000,0.87,0.93,1.000,0.93,0.87,1
1.000,1.05,0.96,.000,0.96,1.05,0
.000,0.92,1.01,1.000,1.01,0.92,1
1.000,0.99,0.95,.000,0.95,0.99,0
.000,0.75,0.84,1.000,0.84,0.75,1
1.000,0.87,0.85,.000,0.85,0.87,0
.000,0.985,1.075,1.000,1.16,1.06,1
1.000,0.9,0.88,.000,0.88,0.9,0
.500,0.965,1.02,1.000,1.13,0.94,1
.000,0.84,0.86,1.000,0.925,0.895,1
1.000,1.07,0.99,.000,1.02,1.09,0
1.000,0.99,0.88,.000,0.975,1.095,0
.500,0.895,0.89,1.000,0.9,0.89,1
1.000,1.04,0.865,.500,0.9,0.995,0
.500,0.98,0.975,.500,0.905,0.945,0
1.000,1.03,0.935,.000,0.973,1.067,0
.000,0.835,0.925,1.000,0.92,0.8,1
.500,0.995,0.91,.500,0.915,0.925,1
.500,1.02,1.055,1.000,1.04,0.84,1
.500,1.04,1.06,.500,0.95,0.89,1
.000,0.82,0.93,1.000,1.02,0.89,1
.000,0.925,0.985,.500,0.885,0.88,1
.000,0.94,0.985,1.000,1.07,1.0,1
.667,0.907,0.89,.667,0.967,0.873,0
.500,0.945,1.075,.667,1.063,1.01,1
.667,1.01,0.99,.667,0.997,0.977,0
.000,0.883,0.97,.667,0.95,0.92,1
.667,0.983,0.997,.667,1.053,1.003,0
.000,0.933,1.017,.667,1.077,1.09,1
.333,0.94,1.013,1.000,1.02,0.95,1
.333,0.997,0.973,1.000,0.983,0.93,1
.333,0.947,1.017,.000,0.85,0.915,0
.000,0.88,1.017,.250,1.0,0.998,1
.500,0.84,0.875,1.000,1.02,0.84,1
.500,1.03,1.02,.333,0.95,0.94,0
.333,0.903,0.97,1.000,1.085,0.915,1
.500,0.89,0.925,.333,0.977,0.943,1
.667,0.95,0.937,.500,1.015,1.035,0
.500,0.985,1.028,.750,1.083,0.985,1
.500,0.975,1.013,.500,1.043,1.023,0
.250,0.983,0.988,.667,0.997,0.963,1
.250,0.925,1.038,.750,1.118,1.065,1
1.000,1.047,0.853,.333,0.853,0.95,0
.500,0.968,0.983,.250,0.898,0.958,1
.500,0.91,0.943,1.000,0.99,0.895,1
.667,1.033,0.94,.750,0.973,0.888,1
.000,0.903,1.035,.250,0.973,1.005,1
.250,0.953,0.978,.500,0.983,0.925,1
.400,0.9,0.932,.667,0.983,0.967,1
.000,0.88,0.943,.500,0.96,0.998,1
.400,0.974,1.05,.333,0.997,1.107,0
.200,0.97,1.0,.800,1.084,0.996,1
.400,0.972,1.022,.600,0.986,0.978,1
.400,0.964,0.978,.500,0.965,0.965,0
.800,0.96,0.928,.600,1.046,0.986,1
.333,0.92,1.033,.800,1.1,0.998,1
.750,1.018,0.948,.667,0.98,0.993,0
.500,0.963,0.93,.750,0.938,0.89,1
.500,0.833,0.868,.500,0.835,0.86,0
.000,0.928,1.038,.400,0.928,0.972,1
.200,0.972,0.988,.400,0.976,0.962,1
.600,0.98,0.922,.600,0.96,0.904,0
